name,rarity,types,set_name,serie_name,release_year,price_date,condition,avg,count
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-11-12,holo-good,2298,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-11-13,holo-good,2844,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-11-14,holo-good,1895,1
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-11-15,holo-good,2308,5
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-11-16,holo-good,1493,3
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-11-18,holo-good,1563,4
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-11-19,holo-good,2024,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-11-20,holo-good,2607,6
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-11-21,holo-good,1171,9
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-11-22,holo-good,795,1
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-11-23,holo-good,1274,3
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-11-24,holo-good,1997,1
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-11-25,holo-good,1127,32
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-11-26,holo-good,1399,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-11-27,holo-good,2159,4
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-11-28,holo-good,1325,11
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-11-29,holo-good,1953,6
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-11-30,holo-good,678,1
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-01,holo-good,1647,3
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-02,holo-good,2094,6
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-03,holo-good,1999,1
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-04,holo-good,2513,5
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-05,holo-good,1552,3
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-07,holo-good,1877,12
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-09,holo-good,1363,3
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-10,holo-good,3107,4
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-11,holo-good,2734,3
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-12,holo-good,888,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-13,holo-good,1761,1
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-14,holo-good,1391,4
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-16,holo-good,2303,17
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-17,holo-good,1320,4
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-18,holo-good,640,1
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-19,holo-good,2720,7
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-20,holo-good,2015,3
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-21,holo-good,2405,4
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-22,holo-good,2286,5
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-23,holo-good,678,6
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-24,holo-good,1698,5
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-25,holo-good,2318,4
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-26,holo-good,3298,1
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-27,holo-good,1759,8
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-28,holo-good,1061,14
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-29,holo-good,3447,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-30,holo-good,1387,7
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-31,holo-good,2351,4
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-01-01,holo-good,2587,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-01-02,holo-good,1487,4
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-01-03,holo-good,2495,1
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-01-04,holo-good,1666,6
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-01-05,holo-good,1483,5
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-01-06,holo-good,1409,10
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-01-07,holo-good,1688,1
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-01-08,holo-good,2388,4
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-01-09,holo-good,2149,6
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-01-10,holo-good,2403,3
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-01-11,holo-good,1695,1
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-01-12,holo-good,1783,5
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-02-06,holo-good,1226,4
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-02-07,holo-good,2050,5
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-02-08,holo-good,724,1
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-02-09,holo-good,2098,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-02-10,holo-good,2146,4
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-02-11,holo-good,1111,8
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-02-12,holo-good,2939,6
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-02-13,holo-good,2065,6
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-02-14,holo-good,2738,5
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-02-16,holo-good,1500,5
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-02-17,holo-good,2140,5
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-02-18,holo-good,3268,4
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-02-19,holo-good,1584,5
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-02-20,holo-good,1598,7
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-02-21,holo-good,1972,6
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-02-22,holo-good,1591,4
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-02-23,holo-good,2224,10
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-02-24,holo-good,1602,6
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-02-25,holo-good,3725,1
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-02-26,holo-good,1802,11
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-02-27,holo-good,2249,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-02-28,holo-good,1881,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-01,holo-good,2388,4
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-02,holo-good,1396,4
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-03,holo-good,2162,6
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-04,holo-good,3142,6
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-05,holo-good,1299,1
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-06,holo-good,687,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-07,holo-good,2705,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-08,holo-good,2015,6
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-09,holo-good,3769,6
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-10,holo-good,2162,3
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-11,holo-good,1590,6
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-12,holo-good,2212,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-13,holo-good,3099,1
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-14,holo-good,2206,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-15,holo-good,1921,4
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-16,holo-good,1097,1
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-17,holo-good,4220,1
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-18,holo-good,1485,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-19,holo-good,1535,3
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-21,holo-good,2043,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-22,holo-good,1849,3
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-23,holo-good,1638,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-24,holo-good,2393,4
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-25,holo-good,617,3
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-26,holo-good,964,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-27,holo-good,2932,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-28,holo-good,1630,3
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-29,holo-good,1599,1
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-31,holo-good,2747,1
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-01,holo-good,2138,4
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-02,holo-good,1923,3
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-03,holo-good,1575,1
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-04,holo-good,2638,3
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-06,holo-good,3128,1
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-07,holo-good,1492,7
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-08,holo-good,1898,7
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-09,holo-good,2345,9
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-10,holo-good,2872,4
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-11,holo-good,1175,4
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-12,holo-good,2325,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-13,holo-good,3203,3
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-14,holo-good,2102,5
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-15,holo-good,2194,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-16,holo-good,1147,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-17,holo-good,1973,3
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-18,holo-good,3299,1
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-19,holo-good,1491,6
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-20,holo-good,2019,5
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-21,holo-good,1589,3
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-22,holo-good,3000,8
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-23,holo-good,1838,3
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-25,holo-good,1693,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-26,holo-good,1289,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-27,holo-good,2711,7
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-28,holo-good,2430,10
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-29,holo-good,2754,3
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-30,holo-good,2631,6
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-05-01,holo-good,3524,1
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-05-02,holo-good,4600,1
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-05-03,holo-good,4044,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-05-04,holo-good,3321,3
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-05-05,holo-good,3374,6
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-05-06,holo-good,3299,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-05-07,holo-good,1431,23
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-05-08,holo-good,1780,3
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-05-09,holo-good,3259,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-05-10,holo-good,2814,2
