name,rarity,types,set_name,serie_name,release_year,price_date,condition,avg,count
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-11-12,holo-good,22.98,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-11-13,holo-good,28.44,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-11-14,holo-good,18.95,1
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-11-15,holo-good,23.08,5
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-11-16,holo-good,14.93,3
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-11-18,holo-good,15.63,4
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-11-19,holo-good,20.24,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-11-20,holo-good,26.07,6
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-11-21,holo-good,11.71,9
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-11-22,holo-good,7.95,1
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-11-23,holo-good,12.74,3
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-11-24,holo-good,19.97,1
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-11-25,holo-good,11.27,32
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-11-26,holo-good,13.99,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-11-27,holo-good,21.59,4
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-11-28,holo-good,13.25,11
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-11-29,holo-good,19.53,6
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-11-30,holo-good,6.78,1
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-01,holo-good,16.47,3
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-02,holo-good,20.94,6
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-03,holo-good,19.99,1
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-04,holo-good,25.13,5
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-05,holo-good,15.52,3
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-07,holo-good,18.77,12
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-09,holo-good,13.63,3
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-10,holo-good,31.07,4
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-11,holo-good,27.34,3
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-12,holo-good,8.88,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-13,holo-good,17.61,1
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-14,holo-good,13.91,4
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-16,holo-good,23.03,17
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-17,holo-good,13.2,4
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-18,holo-good,6.4,1
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-19,holo-good,27.2,7
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-20,holo-good,20.15,3
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-21,holo-good,24.05,4
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-22,holo-good,22.86,5
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-23,holo-good,6.78,6
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-24,holo-good,16.98,5
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-25,holo-good,23.18,4
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-26,holo-good,32.98,1
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-27,holo-good,17.59,8
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-28,holo-good,10.61,14
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-29,holo-good,34.47,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-30,holo-good,13.87,7
Alakazam,Rare,Psychic,Base Set,Base,1999,2022-12-31,holo-good,23.51,4
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-01-01,holo-good,25.87,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-01-02,holo-good,14.87,4
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-01-03,holo-good,24.95,1
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-01-04,holo-good,16.66,6
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-01-05,holo-good,14.83,5
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-01-06,holo-good,14.09,10
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-01-07,holo-good,16.88,1
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-01-08,holo-good,23.88,4
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-01-09,holo-good,21.49,6
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-01-10,holo-good,24.03,3
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-01-11,holo-good,16.95,1
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-01-12,holo-good,17.83,5
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-02-06,holo-good,12.26,4
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-02-07,holo-good,20.5,5
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-02-08,holo-good,7.24,1
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-02-09,holo-good,20.98,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-02-10,holo-good,21.46,4
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-02-11,holo-good,11.11,8
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-02-12,holo-good,29.39,6
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-02-13,holo-good,20.65,6
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-02-14,holo-good,27.38,5
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-02-16,holo-good,15.0,5
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-02-17,holo-good,21.4,5
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-02-18,holo-good,32.68,4
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-02-19,holo-good,15.84,5
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-02-20,holo-good,15.98,7
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-02-21,holo-good,19.72,6
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-02-22,holo-good,15.91,4
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-02-23,holo-good,22.24,10
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-02-24,holo-good,16.02,6
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-02-25,holo-good,37.25,1
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-02-26,holo-good,18.02,11
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-02-27,holo-good,22.49,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-02-28,holo-good,18.81,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-01,holo-good,23.88,4
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-02,holo-good,13.96,4
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-03,holo-good,21.62,6
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-04,holo-good,31.42,6
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-05,holo-good,12.99,1
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-06,holo-good,6.87,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-07,holo-good,27.05,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-08,holo-good,20.15,6
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-09,holo-good,37.69,6
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-10,holo-good,21.62,3
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-11,holo-good,15.9,6
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-12,holo-good,22.12,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-13,holo-good,30.99,1
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-14,holo-good,22.06,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-15,holo-good,19.21,4
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-16,holo-good,10.97,1
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-17,holo-good,42.2,1
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-18,holo-good,14.85,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-19,holo-good,15.35,3
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-21,holo-good,20.43,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-22,holo-good,18.49,3
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-23,holo-good,16.38,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-24,holo-good,23.93,4
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-25,holo-good,6.17,3
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-26,holo-good,9.64,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-27,holo-good,29.32,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-28,holo-good,16.3,3
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-29,holo-good,15.99,1
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-03-31,holo-good,27.47,1
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-01,holo-good,21.38,4
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-02,holo-good,19.23,3
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-03,holo-good,15.75,1
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-04,holo-good,26.38,3
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-06,holo-good,31.28,1
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-07,holo-good,14.92,7
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-08,holo-good,18.98,7
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-09,holo-good,23.45,9
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-10,holo-good,28.72,4
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-11,holo-good,11.75,4
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-12,holo-good,23.25,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-13,holo-good,32.03,3
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-14,holo-good,21.02,5
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-15,holo-good,21.94,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-16,holo-good,11.47,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-17,holo-good,19.73,3
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-18,holo-good,32.99,1
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-19,holo-good,14.91,6
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-20,holo-good,20.19,5
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-21,holo-good,15.89,3
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-22,holo-good,30.0,8
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-23,holo-good,18.38,3
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-25,holo-good,16.93,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-26,holo-good,12.89,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-27,holo-good,27.11,7
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-28,holo-good,24.3,10
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-29,holo-good,27.54,3
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-04-30,holo-good,26.31,6
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-05-01,holo-good,35.24,1
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-05-02,holo-good,46.0,1
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-05-03,holo-good,40.44,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-05-04,holo-good,33.21,3
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-05-05,holo-good,33.74,6
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-05-06,holo-good,32.99,2
Alakazam,Rare,Psychic,Base Set,Base,1999,2023-05-07,holo-good,14.31,23
