internal_id,name,rarity,types,serie_id,serie_name,set_id,set_name,release_date
1,Alakazam,Rare,['Psychic'],base,Base,base1,Base Set,1999-01-09
2,Blastoise,Rare,['Water'],base,Base,base1,Base Set,1999-01-09
3,Chansey,Rare,['Colorless'],base,Base,base1,Base Set,1999-01-09
4,Charizard,Rare,['Fire'],base,Base,base1,Base Set,1999-01-09
5,Clefairy,Rare,['Colorless'],base,Base,base1,Base Set,1999-01-09
6,Gyarados,Rare,['Water'],base,Base,base1,Base Set,1999-01-09
7,Hitmonchan,Rare,['Fighting'],base,Base,base1,Base Set,1999-01-09
8,Machamp,Rare,['Fighting'],base,Base,base1,Base Set,1999-01-09
9,Magneton,Rare,['Lightning'],base,Base,base1,Base Set,1999-01-09
10,Mewtwo,Rare,['Psychic'],base,Base,base1,Base Set,1999-01-09
11,Nidoking,Rare,['Grass'],base,Base,base1,Base Set,1999-01-09
12,Ninetales,Rare,['Fire'],base,Base,base1,Base Set,1999-01-09
13,Poliwrath,Rare,['Water'],base,Base,base1,Base Set,1999-01-09
14,Raichu,Rare,['Lightning'],base,Base,base1,Base Set,1999-01-09
15,Venusaur,Rare,['Grass'],base,Base,base1,Base Set,1999-01-09
16,Zapdos,Rare,['Lightning'],base,Base,base1,Base Set,1999-01-09
17,Beedrill,Rare,['Grass'],base,Base,base1,Base Set,1999-01-09
18,Dragonair,Rare,['Colorless'],base,Base,base1,Base Set,1999-01-09
19,Dugtrio,Rare,['Fighting'],base,Base,base1,Base Set,1999-01-09
20,Electabuzz,Rare,['Lightning'],base,Base,base1,Base Set,1999-01-09
21,Electrode,Rare,['Lightning'],base,Base,base1,Base Set,1999-01-09
22,Pidgeotto,Rare,['Colorless'],base,Base,base1,Base Set,1999-01-09
23,Arcanine,Uncommon,['Fire'],base,Base,base1,Base Set,1999-01-09
24,Charmeleon,Uncommon,['Fire'],base,Base,base1,Base Set,1999-01-09
25,Dewgong,Uncommon,['Water'],base,Base,base1,Base Set,1999-01-09
26,Dratini,Uncommon,['Colorless'],base,Base,base1,Base Set,1999-01-09
27,Farfetch'd,Uncommon,['Colorless'],base,Base,base1,Base Set,1999-01-09
28,Growlithe,Uncommon,['Fire'],base,Base,base1,Base Set,1999-01-09
29,Haunter,Uncommon,['Psychic'],base,Base,base1,Base Set,1999-01-09
30,Ivysaur,Uncommon,['Grass'],base,Base,base1,Base Set,1999-01-09
31,Jynx,Uncommon,['Psychic'],base,Base,base1,Base Set,1999-01-09
32,Kadabra,Uncommon,['Psychic'],base,Base,base1,Base Set,1999-01-09
33,Kakuna,Uncommon,['Grass'],base,Base,base1,Base Set,1999-01-09
34,Machoke,Uncommon,['Fighting'],base,Base,base1,Base Set,1999-01-09
35,Magikarp,Uncommon,['Water'],base,Base,base1,Base Set,1999-01-09
36,Magmar,Uncommon,['Fire'],base,Base,base1,Base Set,1999-01-09
37,Nidorino,Uncommon,['Grass'],base,Base,base1,Base Set,1999-01-09
38,Poliwhirl,Uncommon,['Water'],base,Base,base1,Base Set,1999-01-09
39,Porygon,Uncommon,['Colorless'],base,Base,base1,Base Set,1999-01-09
40,Raticate,Uncommon,['Colorless'],base,Base,base1,Base Set,1999-01-09
41,Seel,Uncommon,['Water'],base,Base,base1,Base Set,1999-01-09
42,Wartortle,Uncommon,['Water'],base,Base,base1,Base Set,1999-01-09
43,Abra,Common,['Psychic'],base,Base,base1,Base Set,1999-01-09
44,Bulbasaur,Common,['Grass'],base,Base,base1,Base Set,1999-01-09
45,Caterpie,Common,['Grass'],base,Base,base1,Base Set,1999-01-09
46,Charmander,Common,['Fire'],base,Base,base1,Base Set,1999-01-09
47,Diglett,Common,['Fighting'],base,Base,base1,Base Set,1999-01-09
48,Doduo,Common,['Colorless'],base,Base,base1,Base Set,1999-01-09
49,Drowzee,Common,['Psychic'],base,Base,base1,Base Set,1999-01-09
50,Gastly,Common,['Psychic'],base,Base,base1,Base Set,1999-01-09
